id,quiz_id,question_id,question,options,correct_answer,explanation,order_index,created_at
081acab7-1783-4dcc-89dc-a20df708b86c,quran,q004,"Which Surah is known as the ""Heart of the Quran""?","[""Al-Fatiha"", ""Al-Baqarah"", ""Ya Sin"", ""Al-Ikhlas""]",2,"Ya Sin (Chapter 36) is often called the ""Heart of the Quran"" due to its profound spiritual significance.",4,2026-01-11 08:39:16.776638+00
0906f59b-546a-46e8-9b52-12a32b344bd2,quran,q33,Which Surah contains the verse of light (Ayat an-Nur)?,"[""An-Nur"", ""Al-Baqarah"", ""Al-Imran"", ""An-Nisa""]",0,Surah An-Nur contains the famous verse of light.,33,2025-12-01 04:42:04.645656+00
0a5eac0e-e11e-43d2-9a45-04dfcd2f71a9,quran,q005,In which language was the Quran revealed?,"[""Persian"", ""Arabic"", ""Urdu"", ""Turkish""]",1,"The Quran was revealed in Arabic, the language of the Prophet Muhammad (peace be upon him) and his people.",5,2026-01-11 08:39:16.776638+00
0bef97e4-6183-4b15-8694-69fd28442ced,quran,q038,"Which Surah begins with disconnected letters ""Ta Ha""?","[""Ta Ha"", ""Al-Baqarah"", ""Ya Sin"", ""Al-Furqan""]",0,"Surah Ta Ha (Chapter 20) begins with the disconnected letters ""Ta Ha"" and contains the story of Prophet Musa (Moses).",38,2026-01-11 08:39:16.776638+00
0ee9d474-9f41-48ef-b902-ba66d3fdbfca,quran,q039,What is the theme of Surah Al-Hujurat?,"[""Manners and etiquette"", ""Prayer"", ""Fasting"", ""Charity""]",0,"Surah Al-Hujurat (Chapter 49) focuses on manners, etiquette, and proper conduct, especially in dealing with the Prophet and fellow Muslims.",39,2026-01-11 08:39:16.776638+00
0f666a25-217f-4aba-8d2c-5fb9c2c7b1b6,quran,q19,Which Surah protects from the punishment of the grave?,"[""Al-Mulk"", ""Yaseen"", ""Al-Waqiah"", ""Ar-Rahman""]",0,Surah Al-Mulk protects from the punishment of the grave.,19,2025-12-01 04:41:33.819206+00
11a9d473-5f27-40d5-a330-8d47490e8e51,quran,q35,Which Surah is called the Surah of Mercy?,"[""Ar-Rahman"", ""Al-Fatiha"", ""Yaseen"", ""Al-Mulk""]",0,Surah Ar-Rahman is known as the Surah of Mercy.,35,2025-12-01 04:42:04.645656+00
129acec9-5c8e-4867-8bbe-cb5f4e36b0eb,quran,q015,What is the theme of Surah Al-Ikhlas?,"[""Patience"", ""Oneness of Allah"", ""Guidance"", ""Mercy""]",1,Surah Al-Ikhlas (The Sincerity) emphasizes the Oneness and Uniqueness of Allah (Tawheed).,15,2026-01-11 08:39:16.776638+00
1615205b-b397-4171-a88e-2babbdad4086,quran,q10,Which Surah is called the bride of the Quran?,"[""Ar-Rahman"", ""Yaseen"", ""Al-Mulk"", ""Al-Waqiah""]",0,Surah Ar-Rahman is known as the bride of the Quran.,10,2025-12-01 04:41:33.819206+00
188b461e-9a7a-4db3-a79d-fe5391964cd2,quran,q1,How many Surahs are in the Quran?,"[""100"", ""114"", ""120"", ""99""]",1,The Quran contains 114 Surahs (chapters).,1,2025-12-01 04:41:33.819206+00
24c7e9d3-ca24-43a0-8a83-fe0281ddc1a2,quran,q051,What is the significance of the first 5 verses of Surah Al-Alaq?,"[""First revelation"", ""About knowledge"", ""Command to read"", ""All of the above""]",3,"The first 5 verses of Surah Al-Alaq (96:1-5) were the very first revelation to Prophet Muhammad (peace be upon him), emphasizing reading and knowledge.",51,2026-01-11 08:39:16.776638+00
2608ae01-1581-43f6-93c9-bef4a286b372,quran,q5,How many times is Prophet Muhammad ﷺ mentioned by name in the Quran?,"[""2"", ""4"", ""7"", ""10""]",1,Prophet Muhammad ﷺ is mentioned by name 4 times in the Quran.,5,2025-12-01 04:41:33.819206+00
26267417-c2df-42c3-982f-90e20f6b86a5,quran,q028,In which Surah is the story of the People of the Cave (Ashab al-Kahf)?,"[""Al-Kahf"", ""Al-A'raf"", ""Al-An'am"", ""Al-Isra""]",0,"Surah Al-Kahf (Chapter 18) contains the story of the People of the Cave, a group of believing youth who sought refuge in a cave.",28,2026-01-11 08:39:16.776638+00
27fb5107-5a45-4f35-8f69-113ef614eba7,quran,q36,How many Surahs start with Alif Lam Mim?,"[""3"", ""5"", ""6"", ""7""]",2,Six Surahs start with the letters Alif Lam Mim.,36,2025-12-01 04:42:04.645656+00
2c4856f6-2573-44c2-8a40-107a31adc016,quran,q4,What is the first Surah revealed to Prophet Muhammad ﷺ?,"[""Al-Fatiha"", ""Al-Alaq"", ""Al-Muddaththir"", ""Al-Baqarah""]",1,Surah Al-Alaq (The Clot) was the first revelation.,4,2025-12-01 04:41:33.819206+00
2efeb43e-6e13-42ad-842a-541e6f8f0e35,quran,q022,"What does ""Bismillah"" mean?","[""In the name of Allah"", ""Allah is Great"", ""Praise be to Allah"", ""Allah is One""]",0,"""Bismillah ar-Rahman ar-Raheem"" means ""In the name of Allah, the Most Gracious, the Most Merciful.""",22,2026-01-11 08:39:16.776638+00
30e19d70-1fc3-4873-b6ff-b94807cc28c2,quran,q003,"How many Ayahs (verses) are in the longest Surah, Al-Baqarah?","[""256"", ""286"", ""300"", ""250""]",1,"Al-Baqarah (The Cow) contains 286 verses, making it the longest Surah in the Quran.",3,2026-01-11 08:39:16.776638+00
34f2ab84-2eff-44ea-8bf3-4c13f7a325d4,quran,q16,"How many times is the word ""Allah"" mentioned in the Quran?","[""1,000"", ""2,000"", ""2,698"", ""3,000""]",2,"The word ""Allah"" appears 2,698 times in the Quran.",16,2025-12-01 04:41:33.819206+00
36bde9f4-252d-41ae-8a0c-9972025ec51c,quran,q041,"What does ""Insha'Allah"" mean?","[""If Allah wills"", ""Allah willing"", ""By Allah's permission"", ""All of the above""]",3,"""Insha'Allah"" means ""If Allah wills"" or ""Allah willing"" and is used when speaking about future events, recognizing that all outcomes are by Allah's will.",41,2026-01-11 08:39:16.776638+00
38bd2a81-f48b-4f8c-bbdc-61defbca06e4,quran,q002,"Which Surah is known as the ""Opening"" of the Quran?","[""Al-Baqarah"", ""Al-Fatiha"", ""Al-Ikhlas"", ""Al-Nas""]",1,Al-Fatiha (The Opening) is the first Surah of the Quran and is recited in every prayer.,2,2026-01-11 08:39:16.776638+00
3c147b94-8551-4275-8598-6dd792432430,quran,q39,Which Surah is equal to one-third of the Quran?,"[""Al-Fatiha"", ""Al-Ikhlas"", ""Yaseen"", ""Al-Mulk""]",1,Surah Al-Ikhlas is equal to one-third of the Quran in reward.,39,2025-12-01 04:42:04.645656+00
3e7e4356-bf74-4450-88d0-3aea3604d89a,quran,q15,Which Surah mentions the story of Prophet Yusuf?,"[""Yusuf"", ""Maryam"", ""Ibrahim"", ""Nuh""]",0,Surah Yusuf tells the complete story of Prophet Yusuf.,15,2025-12-01 04:41:33.819206+00
